Name of the Movie,Year,Rate,Metascore,Votes,n_Rate
The Stanford Prison Experiment,2015,6.8,67,43201,68.0
High-Rise,2015,5.5,65,42975,55.0
The Boy Next Door,2015,4.7,30,42614,47.0
The Transporter Refueled,2015,5.2,32,42546,52.0
Suffragette,2015,6.9,64,42527,69.0
Under sandet,2015,7.8,75,41709,78.0
The Gunman,2015,5.8,39,41571,58.0
Shaun the Sheep Movie,2015,7.3,81,41075,73.0
Regression,2015,5.6,32,40413,56.0
Hot Tub Time Machine 2,2015,5.0,29,39542,50.0
Going Clear: Scientology & the Prison of Belief,2015,8.0,80,39462,80.0
"McFarland, USA",2015,7.4,60,39336,74.0
We Are Your Friends,2015,6.1,46,39013,61.0
Mustang,2015,7.6,83,38978,76.0
Bølgen,2015,6.6,68,38853,66.0
The 33,2015,6.8,55,38350,68.0
Paul Blart: Mall Cop 2,2015,4.4,13,38104,44.0
The Second Best Exotic Marigold Hotel,2015,6.5,51,34165,65.0
Survivor,2015,5.6,28,34149,56.0
Unfinished Business,2015,5.4,32,33845,54.0
Cop Car,2015,6.3,66,33816,63.0
45 Years,2015,7.1,94,33449,71.0
Le tout nouveau testament,2015,7.1,70,33096,71.0
Tangerine,2015,7.1,86,32705,71.0
The Diary of a Teenage Girl,2015,6.8,87,32166,68.0
Danny Collins,2015,7.0,58,31946,70.0
Z for Zachariah,2015,6.0,68,31258,60.0
The End of the Tour,2015,7.2,82,31018,72.0
Equals,2015,6.0,43,31015,60.0
Heist,2015,6.1,37,30769,61.0
A Bigger Splash,2015,6.4,74,30589,64.0
Cobain: Montage of Heck,2015,7.5,83,30235,75.0
The Lady in the Van,2015,6.7,70,29644,67.0
Il racconto dei racconti - Tale of Tales,2015,6.4,72,28998,64.0
Paranormal Activity: The Ghost Dimension,2015,4.6,30,28486,46.0
Turbo Kid,2015,6.7,60,28384,67.0
Knight of Cups,2015,5.6,53,27547,56.0
Mistress America,2015,6.7,75,27359,67.0
A Walk in the Woods,2015,6.3,51,27353,63.0
Max,2015,6.6,47,27126,66.0
Deadpool,2016,8.0,65,1031705,80.0
Captain America: Civil War,2016,7.8,75,783514,78.0
Doctor Strange,2016,7.5,72,738963,75.0
Batman v Superman: Dawn of Justice,2016,6.4,44,698551,64.0
Arrival,2016,7.9,81,691126,79.0
Suicide Squad,2016,5.9,40,684558,59.0
Rogue One,2016,7.8,65,633215,78.0
La La Land,2016,8.0,94,584458,80.0
Hacksaw Ridge,2016,8.1,71,522765,81.0
Zootopia,2016,8.0,78,497194,80.0
Split,2016,7.3,62,496316,73.0
Fantastic Beasts and Where to Find Them,2016,7.2,66,475134,72.0
X-Men: Apocalypse,2016,6.9,52,435429,69.0
Passengers,2016,7.0,41,405384,70.0
Moana,2016,7.6,81,335123,76.0
10 Cloverfield Lane,2016,7.2,76,328239,72.0
The Nice Guys,2016,7.3,70,328030,73.0
Moonlight,2016,7.4,99,308124,74.0
The Accountant,2016,7.3,51,297045,73.0
Now You See Me 2,2016,6.4,46,290473,64.0
Manchester by the Sea,2016,7.8,96,282277,78.0
Nocturnal Animals,2016,7.5,67,279750,75.0
The Jungle Book,2016,7.4,77,278011,74.0
Finding Dory,2016,7.3,77,276501,73.0
Don't Breathe,2016,7.1,71,275493,71.0
Sully,2016,7.4,74,273262,74.0
The Conjuring 2,2016,7.3,65,271465,73.0
Kimi no Na wa.,2016,8.4,79,266513,84.0
Warcraft,2016,6.7,32,264661,67.0
Me Before You,2016,7.4,51,253533,74.0
Star Trek Beyond,2016,7.0,68,246980,70.0
Lion,2016,8.0,69,236786,80.0
Ghostbusters,2016,6.9,60,232629,69.0
Hell or High Water,2016,7.6,88,231501,76.0
Hidden Figures,2016,7.8,74,230193,78.0
Jason Bourne,2016,6.6,58,228262,66.0
Busanhaeng,2016,7.6,73,220734,76.0
War Dogs,2016,7.1,57,220372,71.0
Captain Fantastic,2016,7.8,72,219487,78.0
The Magnificent Seven,2016,6.8,54,212780,68.0
The Secret Life of Pets,2016,6.5,61,203107,65.0
Assassin's Creed,2016,5.6,36,199853,56.0
Sausage Party,2016,6.1,66,195410,61.0
Central Intelligence,2016,6.3,52,191470,63.0
The Girl on the Train,2016,6.5,48,187985,65.0
Independence Day: Resurgence,2016,5.2,32,180432,52.0
The Legend of Tarzan,2016,6.2,44,177815,62.0
Inferno,2016,6.2,42,176926,62.0
The Promise,2016,6.0,49,176470,60.0
Miss Peregrine's Home for Peculiar Children,2016,6.7,57,173767,67.0
Sing,2016,7.1,59,170731,71.0
Deepwater Horizon,2016,7.1,68,169851,71.0
Jack Reacher: Never Go Back,2016,6.1,47,160010,61.0
Kung Fu Panda 3,2016,7.1,66,159994,71.0
London Has Fallen,2016,5.9,28,159548,59.0
Allied,2016,7.1,60,158144,71.0
Snowden,2016,7.3,58,152927,73.0
The Founder,2016,7.2,66,151750,72.0
Ah-ga-ssi,2016,8.1,84,147198,81.0
13 Hours,2016,7.3,48,143901,73.0
The Great Wall,2016,5.9,42,136958,59.0
Hush,2016,6.6,67,135746,66.0
"Hail, Caesar!",2016,6.3,72,135646,63.0
The Shallows,2016,6.3,59,134168,63.0
Hunt for the Wilderpeople,2016,7.8,81,131177,78.0
Nerve,2016,6.5,58,131158,65.0
Lights Out,2016,6.3,58,130838,63.0
Kubo and the Two Strings,2016,7.7,84,129759,77.0
The Edge of Seventeen,2016,7.3,77,127308,73.0
Bad Moms,2016,6.2,60,126227,62.0
Dirty Grandpa,2016,5.9,21,124796,59.0
Neighbors 2: Sorority Rising,2016,5.7,58,123820,57.0
Allegiant,2016,5.7,33,123220,57.0
Swiss Army Man,2016,6.9,64,122458,69.0
The Autopsy of Jane Doe,2016,6.8,65,119546,68.0
Gods of Egypt,2016,5.4,25,118070,54.0
Why Him?,2016,6.2,39,114414,62.0
Silence,2016,7.1,79,113575,71.0
The Huntsman: Winter's War,2016,6.1,35,111077,61.0
The 5th Wave,2016,5.2,33,110389,52.0
Alice Through the Looking Glass,2016,6.2,34,109835,62.0
Fences,2016,7.2,79,109107,72.0
Patriots Day,2016,7.3,69,103760,73.0
Grimsby,2016,6.2,44,103536,62.0
The Purge: Election Year,2016,6.0,55,102356,60.0
Collateral Beauty,2016,6.7,23,100886,67.0
Money Monster,2016,6.5,55,100822,65.0
A Cure for Wellness,2016,6.4,47,99778,64.0
The Neon Demon,2016,6.1,51,96412,61.0
Resident Evil: The Final Chapter,2016,5.5,49,94922,55.0
Sing Street,2016,7.9,79,94205,79.0
Teenage Mutant Ninja Turtles: Out of the Shadows,2016,5.9,40,93765,59.0
Angry Birds,2016,6.3,43,93741,63.0
The Boy,2016,6.0,42,93489,60.0
The Lost City of Z,2016,6.6,78,92073,66.0
Mike and Dave Need Wedding Dates,2016,6.0,51,90021,60.0
How to Be Single,2016,6.0,51,89154,60.0
A Monster Calls,2016,7.4,76,88971,74.0
The BFG,2016,6.3,66,86688,63.0
Mechanic: Resurrection,2016,5.7,38,85750,57.0
Trolls,2016,6.4,55,82493,64.0
Paterson,2016,7.3,90,82287,73.0
Koe no katachi,2016,8.1,78,81818,81.0
Midnight Special,2016,6.6,76,81219,66.0
Office Christmas Party,2016,5.8,42,80447,58.0
Jackie,2016,6.7,81,80191,67.0
Grave,2016,7.0,81,78666,70.0
Café Society,2016,6.6,64,77662,66.0
Underworld: Blood Wars,2016,5.7,23,76645,57.0
Bridget Jones's Baby,2016,6.5,59,76420,65.0
Miss Sloane,2016,7.5,64,75740,75.0
The Infiltrator,2016,7.0,66,74519,70.0
The Fundamentals of Caring,2016,7.3,55,73469,73.0
Triple 9,2016,6.3,52,72846,63.0
Zoolander 2,2016,4.7,34,69834,47.0
Gokseong,2016,7.4,81,69368,74.0
Ice Age: Collision Course,2016,5.6,34,67495,56.0
Elle,2016,7.1,89,67462,71.0
The Finest Hours,2016,6.7,58,67322,67.0
Criminal,2016,6.3,36,66922,63.0
Ouija: Origin of Evil,2016,6.2,65,66016,62.0
Colossal,2016,6.2,70,65578,62.0
Blood Father,2016,6.4,66,64948,64.0
Gold,2016,6.7,49,64700,67.0
Keeping Up with the Joneses,2016,5.9,34,63668,59.0
Storks,2016,6.8,56,62820,68.0
Popstar: Never Stop Never Stopping,2016,6.7,68,62528,67.0
Forushande,2016,7.7,85,60866,77.0
"I, Daniel Blake",2016,7.8,78,60444,78.0
The Girl with All the Gifts,2016,6.6,67,60259,66.0
Ride Along 2,2016,5.9,32,59366,59.0
Pete's Dragon,2016,6.7,71,58852,67.0
Free State of Jones,2016,6.9,53,58554,69.0
Live by Night,2016,6.4,49,57599,64.0
The Light Between Oceans,2016,7.2,60,57269,72.0
Pride and Prejudice and Zombies,2016,5.8,45,57110,58.0
Florence Foster Jenkins,2016,6.8,71,56605,68.0
Everybody Wants Some!!,2016,6.9,83,55788,69.0
Whiskey Tango Foxtrot,2016,6.6,57,53119,66.0
The Belko Experiment,2016,6.1,44,51970,61.0
Keanu,2016,6.2,63,49426,62.0
Anthropoid,2016,7.2,59,49295,72.0
Toni Erdmann,2016,7.3,93,48758,73.0
Before I Wake,2016,6.2,68,47508,62.0
Free Fire,2016,6.3,63,47306,63.0
The Do-Over,2016,5.7,22,47113,57.0
The Boss,2016,5.4,40,46717,54.0
Blair Witch,2016,5.0,47,46661,50.0
Imperium,2016,6.5,68,46445,65.0
20th Century Women,2016,7.3,83,45894,73.0
A Hologram for the King,2016,6.1,58,45059,61.0
Ben-Hur,2016,5.7,38,44620,57.0
Bastille Day,2016,6.3,48,44614,63.0
Morgan,2016,5.8,48,43598,58.0
American Honey,2016,7.0,80,43408,70.0
The Forest,2016,4.8,34,43220,48.0
Brimstone,2016,7.0,45,41776,70.0
The Choice,2016,6.5,26,41134,65.0
Personal Shopper,2016,6.1,77,40753,61.0
Better Watch Out,2016,6.5,67,39016,65.0
Race,2016,7.1,56,38087,71.0
Mother's Day,2016,5.6,18,37504,56.0
The Void,2016,5.9,62,36923,59.0
Meet the Blacks,2016,4.8,26,36771,48.0
13th,2016,8.2,83,35765,82.0
La tortue rouge,2016,7.5,86,35472,75.0
Loving,2016,7.0,79,34741,70.0
Julieta,2016,7.1,73,32148,71.0
The Bad Batch,2016,5.2,62,32070,52.0
A Street Cat Named Bob,2016,7.3,54,31591,73.0
My Big Fat Greek Wedding 2,2016,6.0,37,31445,60.0
Logan,2017,8.1,77,759061,81.0
Thor: Ragnarok,2017,7.9,74,747386,79.0
Guardians of the Galaxy Vol. 2,2017,7.6,67,677355,76.0
Wonder Woman,2017,7.4,76,656417,74.0
Dunkirk,2017,7.8,94,654674,78.0
Spider-Man: Homecoming,2017,7.4,73,653266,74.0
Star Wars: Episode VIII - The Last Jedi,2017,6.9,84,629836,69.0
Get Out,2017,7.7,85,604459,77.0
Blade Runner 2049,2017,8.0,81,567447,80.0
It,2017,7.3,69,546395,73.0
Baby Driver,2017,7.6,86,535118,76.0
"Three Billboards Outside Ebbing, Missouri",2017,8.1,88,504840,81.0
Coco,2017,8.4,81,503191,84.0
Justice League,2017,6.1,45,452485,61.0
John Wick: Chapter 2,2017,7.4,75,430530,74.0
The Shape of Water,2017,7.3,87,419527,73.0
Jumanji: Welcome to the Jungle,2017,6.9,58,379992,69.0
Kingsman: The Golden Circle,2017,6.7,44,328029,67.0
Kong: Skull Island,2017,6.6,62,319738,66.0
Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.5,39,311831,65.0
Beauty and the Beast,2017,7.1,65,309267,71.0
Lady Bird,2017,7.4,93,290423,74.0
Alien: Covenant,2017,6.4,65,282275,64.0
The Greatest Showman,2017,7.5,48,281553,75.0
Call Me by Your Name,2017,7.8,93,271916,78.0
Murder on the Orient Express,2017,6.5,52,258248,65.0
War for the Planet of the Apes,2017,7.4,82,257733,74.0
Wind River,2017,7.7,73,251911,77.0
The Fate of the Furious,2017,6.6,56,232621,66.0
Life,2017,6.6,54,231980,66.0
The Hitman's Bodyguard,2017,6.9,47,231654,69.0
Mother!,2017,6.6,75,226786,66.0
King Arthur: Legend of the Sword,2017,6.7,41,217705,67.0
"I, Tonya",2017,7.5,77,216299,75.0
Ghost in the Shell,2017,6.3,52,215723,63.0
Darkest Hour,2017,7.4,75,203033,74.0
Atomic Blonde,2017,6.7,63,194754,67.0
The Mummy,2017,5.4,34,191010,54.0
Bright,2017,6.3,29,189993,63.0
Baywatch,2017,5.5,37,187231,55.0
American Made,2017,7.1,65,185029,71.0
Valerian and the City of a Thousand Planets,2017,6.4,51,182356,64.0
Molly's Game,2017,7.4,71,172709,74.0
Wonder,2017,7.9,66,164933,79.0
The Killing of a Sacred Deer,2017,7.0,73,155187,70.0
The Disaster Artist,2017,7.3,76,154642,73.0
The Lego Batman Movie,2017,7.3,75,152503,73.0
Transformers: The Last Knight,2017,5.2,27,152355,52.0
The Post,2017,7.2,83,151737,72.0
Logan Lucky,2017,7.0,78,150673,70.0
Happy Death Day,2017,6.6,58,143240,66.0
The Dark Tower,2017,5.6,34,139428,56.0
Despicable Me 3,2017,6.2,49,136505,62.0
The Big Sick,2017,7.5,86,136019,75.0
Annabelle: Creation,2017,6.5,62,135567,65.0
Phantom Thread,2017,7.4,90,133167,74.0
The Boss Baby,2017,6.3,50,127791,63.0
T2 Trainspotting,2017,7.2,67,124944,72.0
Good Time,2017,7.3,80,124447,73.0
What Happened to Monday,2017,6.8,47,123778,68.0
Okja,2017,7.3,75,122139,73.0
You Were Never Really Here,2017,6.7,84,119949,67.0
Gifted,2017,7.6,60,117496,76.0
The Foreigner,2017,7.0,55,115471,70.0
The Florida Project,2017,7.6,92,115184,76.0
Downsizing,2017,5.8,63,111581,58.0
Gerald's Game,2017,6.5,77,111079,65.0
Geostorm,2017,5.3,21,108833,53.0
Power Rangers,2017,5.9,44,108783,59.0
The Death of Stalin,2017,7.2,88,103754,72.0
Fifty Shades Darker,2017,4.5,33,103357,45.0
The Ritual,2017,6.3,57,101853,63.0
Cars 3,2017,6.7,59,100929,67.0
It Comes at Night,2017,6.2,78,94782,62.0
The Circle,2017,5.3,43,93419,53.0
xXx: Return of Xander Cage,2017,5.2,42,92699,52.0
Shot Caller,2017,7.3,59,87277,73.0
Going in Style,2017,6.6,50,86153,66.0
Hostiles,2017,7.2,65,85942,72.0
All the Money in the World,2017,6.8,72,85759,68.0
Death Note,2017,4.5,43,85479,45.0
American Assassin,2017,6.2,45,83285,62.0
Jigsaw,2017,5.7,39,80467,57.0
Paddington 2,2017,7.8,88,79223,78.0
Papillon,2017,7.2,51,76217,72.0
The Mountain Between Us,2017,6.4,48,75901,64.0
Daddy's Home 2,2017,6.0,30,74097,60.0
A Dog's Purpose,2017,7.2,43,73015,72.0
A Ghost Story,2017,6.8,84,72983,68.0
Only the Brave,2017,7.6,72,70356,76.0
Brawl in Cell Block 99,2017,7.1,79,67315,71.0
The Square,2017,7.2,73,65868,72.0
The Snowman,2017,5.1,23,65119,51.0
The Emoji Movie,2017,3.3,12,64958,33.0
Pitch Perfect 3,2017,5.8,40,64933,58.0
1922,2017,6.2,70,64335,62.0
I don't feel at home in this world anymore.,2017,6.9,75,58523,69.0
Loving Vincent,2017,7.8,62,58416,78.0
The Beguiled,2017,6.3,77,58073,63.0
Ferdinand,2017,6.7,58,57916,67.0
Jungle,2017,6.7,48,57692,67.0
The Upside,2017,7.0,46,57109,70.0
First Reformed,2017,7.1,85,57093,71.0
Battle of the Sexes,2017,6.7,73,56225,67.0
47 Meters Down,2017,5.6,52,55989,56.0
Detroit,2017,7.3,77,53493,73.0
The Space Between Us,2017,6.4,33,53420,64.0
Before I Fall,2017,6.4,58,53008,64.0
Rough Night,2017,5.2,51,52682,52.0
A Bad Moms Christmas,2017,5.6,42,51201,56.0
Icarus,2017,7.9,68,50430,79.0
To the Bone,2017,6.8,64,50089,68.0
Mudbound,2017,7.4,85,49781,74.0
The Meyerowitz Stories (New and Selected),2017,6.9,79,49705,69.0
CHIPS,2017,6.0,28,48442,60.0
Flatliners,2017,5.2,27,47761,52.0
War Machine,2017,6.0,56,47095,60.0
Stronger,2017,6.9,76,45686,69.0
The House,2017,5.6,30,44843,56.0
Suburbicon,2017,5.7,42,44704,57.0
Cargo,2017,6.3,65,44127,63.0
Revenge,2017,6.4,81,44013,64.0
The Zookeeper's Wife,2017,7.0,57,43714,70.0
The Endless,2017,6.5,80,43416,65.0
Thoroughbreds,2017,6.6,75,43197,66.0
Fist Fight,2017,5.6,37,43120,56.0
Ingrid Goes West,2017,6.6,71,42690,66.0
Rings,2017,4.5,25,41140,45.0
The Wife,2017,7.2,77,40227,72.0
"Everything, Everything",2017,6.3,52,39355,63.0
"Roman J. Israel, Esq.",2017,6.5,58,38664,65.0
Girls Trip,2017,6.2,71,37916,62.0
Kidnap,2017,5.9,44,37410,59.0
Time Trap,2017,6.2,46,37313,62.0
The Shack,2017,6.2,32,36293,62.0
Victoria & Abdul,2017,6.8,58,36137,68.0
Snatched,2017,4.6,45,35906,46.0
Unlocked,2017,6.3,46,35760,63.0
Ghost Stories,2017,6.4,68,34865,64.0
The Discovery,2017,6.2,54,34766,62.0
The Glass Castle,2017,7.1,56,34148,71.0
Nelyubov,2017,7.6,86,33416,76.0
Aus dem Nichts,2017,7.1,65,33340,71.0
Thelma,2017,7.0,74,32950,70.0
Home Again,2017,5.8,41,32871,58.0
Sleepless,2017,5.6,34,32806,56.0
I Kill Giants,2017,6.1,74,32671,61.0
Marrowbone,2017,6.7,63,32451,67.0
Borg McEnroe,2017,6.9,63,32376,69.0
Disobedience,2017,6.6,74,31693,66.0
God's Own Country,2017,7.6,85,31409,76.0
Table 19,2017,5.8,40,29085,58.0
Wonder Wheel,2017,6.2,45,29051,62.0
Captain Underpants: The First Epic Movie,2017,6.2,69,28992,62.0
Teströl és lélekröl,2017,7.5,77,27946,75.0
The Current War,2017,6.5,55,27935,65.0
Goodbye Christopher Robin,2017,7.1,54,27860,71.0
The Book of Henry,2017,6.6,31,27790,66.0
The Wall,2017,6.2,57,27673,62.0
Creep 2,2017,6.4,75,27173,64.0
The Lego Ninjago Movie,2017,6.0,55,26682,60.0
Professor Marston and the Wonder Women,2017,7.0,68,26654,70.0
Den 12. mann,2017,7.3,70,26486,73.0
"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017,7.6,77,26336,76.0
Last Flag Flying,2017,6.9,65,26098,69.0
Cult of Chucky,2017,5.2,69,26064,52.0
The Ottoman Lieutenant,2017,6.4,26,25867,64.0
Una Mujer Fantástica,2017,7.2,86,25851,72.0
The Breadwinner,2017,7.7,78,25800,77.0
Avengers: Infinity War,2018,8.4,68,1069670,84.0
Black Panther,2018,7.3,88,759323,73.0
Deadpool 2,2018,7.7,66,579219,77.0
Bohemian Rhapsody,2018,7.9,49,536627,79.0
A Quiet Place,2018,7.5,82,526590,75.0
Spider-Man: Into the Spider-Verse,2018,8.4,87,522633,84.0
Green Book,2018,8.2,69,487437,82.0
Venom,2018,6.6,35,483280,66.0
Aquaman,2018,6.8,55,472292,68.0
Ready Player One,2018,7.4,64,434975,74.0
Ant-Man and the Wasp,2018,7.0,70,400344,70.0
A Star Is Born,2018,7.6,88,383226,76.0
Solo: A Star Wars Story,2018,6.9,62,346259,69.0
Bird Box,2018,6.6,51,341042,66.0
Mission: Impossible - Fallout,2018,7.7,86,332475,77.0
Annihilation,2018,6.8,79,326374,68.0
Jurassic World: Fallen Kingdom,2018,6.1,51,316542,61.0
Hereditary,2018,7.3,87,314587,73.0
Incredibles 2,2018,7.6,80,296627,76.0
Fantastic Beasts: The Crimes of Grindelwald,2018,6.5,52,282883,65.0
BlacKkKlansman,2018,7.5,83,263946,75.0
Game Night,2018,6.9,66,235412,69.0
Ocean's Eight,2018,6.3,61,219750,63.0
Tomb Raider,2018,6.3,48,215022,63.0
The Favourite,2018,7.5,91,200705,75.0
First Man,2018,7.3,84,188761,73.0
Red Sparrow,2018,6.6,53,186916,66.0
Upgrade,2018,7.5,67,186396,75.0
Crazy Rich Asians,2018,6.9,74,172995,69.0
The Meg,2018,5.6,46,172112,56.0
Isle of Dogs,2018,7.8,82,169138,78.0
Rampage,2018,6.1,45,168901,61.0
Bumblebee,2018,6.7,66,165778,67.0
Searching,2018,7.6,71,163222,76.0
Ralph Breaks the Internet,2018,7.0,71,161572,70.0
The Equalizer 2,2018,6.7,50,160496,67.0
Roma,2018,7.7,96,158573,77.0
Halloween,2018,6.5,67,155902,65.0
Bad Times at the El Royale,2018,7.1,60,150923,71.0
A Simple Favor,2018,6.8,67,150117,68.0
Sicario: Day of the Soldado,2018,7.0,61,148689,70.0
The Ballad of Buster Scruggs,2018,7.3,79,148200,73.0
Vice,2018,7.2,61,148042,72.0
The Nun,2018,5.3,46,141885,53.0
Maze Runner: The Death Cure,2018,6.2,50,140930,62.0
The Mule,2018,7.0,58,137997,70.0
Tag,2018,6.5,56,134573,65.0
The Predator,2018,5.3,48,134375,53.0
Mortal Engines,2018,6.1,44,127126,61.0
Creed II,2018,7.1,66,126122,71.0
Skyscraper,2018,5.8,51,123160,58.0
Pacific Rim: Uprising,2018,5.6,44,118168,56.0
The Commuter,2018,6.3,56,116484,63.0
"Love, Simon",2018,7.5,72,115577,75.0
Den of Thieves,2018,7.0,49,112740,70.0
To All the Boys I've Loved Before,2018,7.0,64,108382,70.0
Instant Family,2018,7.3,57,107629,73.0
The Cloverfield Paradox,2018,5.5,37,105939,55.0
Overlord,2018,6.6,60,99850,66.0
Widows,2018,6.8,84,98283,68.0
Mamma Mia! Here We Go Again,2018,6.6,60,95972,66.0
Capharnaüm,2018,8.4,75,89562,84.0
Mary Poppins Returns,2018,6.7,66,88625,67.0
12 Strong,2018,6.5,54,82554,65.0
Mile 22,2018,6.1,38,80203,61.0
Blockers,2018,6.2,69,80188,62.0
Sorry to Bother You,2018,6.9,80,80112,69.0
Mandy,2018,6.5,81,79943,65.0
Suspiria,2018,6.7,64,79004,67.0
Christopher Robin,2018,7.2,60,78469,72.0
The Spy Who Dumped Me,2018,6.0,52,78223,60.0
Beautiful Boy,2018,7.3,62,77865,73.0
The House That Jack Built,2018,6.8,42,77384,68.0
Manbiki kazoku,2018,7.9,93,76947,79.0
Eighth Grade,2018,7.4,89,76246,74.0
Johnny English Strikes Again,2018,6.2,39,74951,62.0
Hotel Transylvania 3: Summer Vacation,2018,6.3,54,74875,63.0
Robin Hood,2018,5.3,32,74391,53.0
Outlaw King,2018,6.9,59,72769,69.0
Death Wish,2018,6.3,31,72704,63.0
The Christmas Chronicles,2018,7.0,52,72643,70.0
The Grinch,2018,6.3,51,70775,63.0
Climax,2018,6.9,67,69136,69.0
Free Solo,2018,8.1,83,68809,81.0
Fifty Shades Freed,2018,4.5,31,66602,45.0
Mid90s,2018,7.3,66,65949,73.0
Peppermint,2018,6.4,29,65497,64.0
Les frères Sisters,2018,6.9,78,65349,69.0
Beoning,2018,7.5,90,65316,75.0
The First Purge,2018,5.2,54,64659,52.0
Hotel Mumbai,2018,7.6,62,64635,76.0
Hunter Killer,2018,6.6,43,64021,66.0
Alpha,2018,6.6,63,62974,66.0
Mowgli,2018,6.5,51,62453,65.0
Insidious: The Last Key,2018,5.7,49,61341,57.0
Leave No Trace,2018,7.1,88,60239,71.0
Tully,2018,6.9,75,59698,69.0
Den skyldige,2018,7.5,83,59367,75.0
Zimna wojna,2018,7.5,90,57449,75.0
Adrift,2018,6.6,56,57328,66.0
Truth or Dare,2018,5.2,35,56942,52.0
Set It Up,2018,6.5,62,54636,65.0
I Feel Pretty,2018,5.6,48,54327,56.0
Hotel Artemis,2018,6.1,58,54090,61.0
Apostle,2018,6.3,62,53665,63.0
How It Ends,2018,5.0,36,53648,50.0
Extinction,2018,5.8,40,53463,58.0
Can You Ever Forgive Me?,2018,7.1,87,52736,71.0
Arctic,2018,6.8,71,52687,68.0
The House with a Clock in Its Walls,2018,6.0,57,52245,60.0
Mary Queen of Scots,2018,6.3,60,51049,63.0
When We First Met,2018,6.4,36,49844,64.0
If Beale Street Could Talk,2018,7.1,87,49206,71.0
The Girl in the Spider's Web,2018,6.1,43,48182,61.0
Fyre,2018,7.2,75,47707,72.0
The Guernsey Literary and Potato Peel Pie Society,2018,7.3,65,47139,73.0
Dragged Across Concrete,2018,6.9,60,46935,69.0
Unsane,2018,6.4,63,46903,64.0
The Old Man & the Gun,2018,6.7,80,46539,67.0
American Animals,2018,7.0,68,45382,70.0
A Wrinkle in Time,2018,4.2,53,45328,42.0
Anon,2018,6.1,54,44981,61.0
The Perfection,2018,6.2,60,44104,62.0
Peter Rabbit,2018,6.6,51,43448,66.0
Under the Silver Lake,2018,6.5,60,43315,65.0
Operation Finale,2018,6.6,58,43048,66.0
Summer of 84,2018,6.7,57,41650,67.0
Night School,2018,5.6,43,41338,56.0
Braven,2018,5.9,61,40945,59.0
Smallfoot,2018,6.6,60,39930,66.0
Sierra Burgess Is a Loser,2018,5.8,60,39351,58.0
Boy Erased,2018,6.9,69,39131,69.0
Replicas,2018,5.4,19,38938,54.0
Overboard,2018,6.0,42,38917,60.0
White Boy Rick,2018,6.5,59,38182,65.0
Stan & Ollie,2018,7.2,75,37744,72.0
Hold the Dark,2018,5.6,63,37673,56.0
Life of the Party,2018,5.6,46,37531,56.0
Holmes & Watson,2018,3.9,24,36930,39.0
The Hate U Give,2018,7.5,81,36745,75.0
High Life,2018,5.8,77,36363,58.0
Freaks,2018,6.7,63,35936,67.0
Three Identical Strangers,2018,7.6,81,35803,76.0
Mute,2018,5.4,35,35795,54.0
At Eternity's Gate,2018,6.9,76,35577,69.0
Todos lo saben,2018,6.9,68,35083,69.0
They Shall Not Grow Old,2018,8.2,91,35072,82.0
On the Basis of Sex,2018,7.1,59,34871,71.0
Slender Man,2018,3.2,30,34803,32.0
Winchester,2018,5.4,28,34554,54.0
Dumplin',2018,6.5,53,34416,65.0
22 July,2018,6.8,69,34390,68.0
Greta,2018,6.0,54,34338,60.0
The 15:17 to Paris,2018,5.3,45,33949,53.0
The Nutcracker and the Four Realms,2018,5.5,39,33761,55.0
Unfriended: Dark Web,2018,6.0,53,33761,60.0
Ghostland,2018,6.4,44,33282,64.0
Padmaavat,2018,7.0,63,33144,70.0
The Professor,2018,6.7,37,33106,67.0
The Darkest Minds,2018,5.7,39,32678,57.0
Cam,2018,5.9,71,32525,59.0
Midnight Sun,2018,6.6,38,31891,66.0
Tau,2018,5.8,43,31890,58.0
The Strangers: Prey at Night,2018,5.2,48,31696,52.0
The Titan,2018,4.8,33,31669,48.0
The Nightingale,2018,7.3,77,31409,73.0
Blindspotting,2018,7.4,77,31113,74.0
"Game Over, Man!",2018,5.4,32,30810,54.0
Gräns,2018,7.0,75,30545,70.0
Gringo,2018,6.1,46,30531,61.0
Destination Wedding,2018,6.0,46,30433,60.0
Destroyer,2018,6.2,62,29963,62.0
Calibre,2018,6.8,76,29827,68.0
Wildlife,2018,6.8,80,29299,68.0
Book Club,2018,6.1,53,28554,61.0
The Happytime Murders,2018,5.4,27,28466,54.0
The Clovehitch Killer,2018,6.5,59,28438,65.0
Prospect,2018,6.3,68,28300,63.0
Doragon bôru chô: Burorî,2018,7.7,59,28116,77.0
Second Act,2018,5.8,46,27941,58.0
"Don't Worry, He Won't Get Far on Foot",2018,6.8,67,27473,68.0
Dogman,2018,7.2,71,27202,72.0
Joker,2019,8.4,59,1264713,84.0
Avengers: Endgame,2019,8.4,78,1116889,84.0
Gisaengchung,2019,8.5,96,790601,85.0
Once Upon a Time... in Hollywood,2019,7.6,83,728728,76.0
Knives Out,2019,7.9,82,620858,79.0
1917,2019,8.2,78,582748,82.0
Captain Marvel,2019,6.8,64,557678,68.0
Spider-Man: Far from Home,2019,7.4,69,488816,74.0
Star Wars: Episode IX - The Rise of Skywalker,2019,6.5,53,449082,65.0
